BF,dataset,dim,size,nonlinearity,mean,harmonic_mean,standard_deviation,median,MSE_PRSM_1,RMSE_PRSM_1,MAE_PRSM_1,MSE_PRSM_2,RMSE_PRSM_2,MAE_PRSM_2,gradient1,gradient2,gradient3,gradient4
BF30,BF30_8,2,96,0.969935769,5.55E-17,4.614189293,1,0.420934725,0.999096142,0.999547969,0.663386032,0.672855903,0.820277942,0.540970668,0.050930673,0.014028364,0.470656432,0.001518037
BF30,BF30_9,2,108,0.952471628,-3.39E-17,0.558300706,1,0.352376372,0.997741054,0.998869888,0.610488476,0.715253203,0.845726435,0.51919387,0.045495044,0.019513213,0.287375153,0.003089183
BF30,BF30_10,2,120,0.94100986,2.96E-17,1.731178546,1,0.279220714,0.996520163,0.998258565,0.675917424,0.640174452,0.800109025,0.528961405,0.024276709,0.004018261,0.371557796,0.000262544
BF31,BF31_1,2,12,0.531832493,-5.32E-17,0.983015489,1,0.196747374,0.780819186,0.883639738,0.730228021,2.33E-09,4.83E-05,4.23E-05,-0.066464038,0.043480445,0.350243311,0.008251081
BF31,BF31_2,2,24,0.878039968,-9.25E-17,-0.389780026,1,-0.060833312,0.985125751,0.992535012,0.825770599,1.34E-09,3.66E-05,2.81E-05,0.037168737,0.027666367,0.295982539,0.003474272
BF31,BF31_3,2,36,0.887877428,-1.73E-16,-1.438508738,1,-0.327452777,0.987428529,0.993694384,0.858351236,1.68E-09,4.10E-05,3.19E-05,-0.035093592,0.027597285,0.235977824,0.004104148
BF31,BF31_4,2,48,0.90052231,-1.76E-16,-0.36434499,1,-0.29952145,0.990104189,0.995039793,0.838335862,1.82E-09,4.26E-05,3.50E-05,0.007445717,0.021791054,0.195629204,0.000829375
BF31,BF31_5,2,60,0.94685093,-3.95E-16,-2.361763607,1,-0.264833996,0.997175176,0.998586589,0.863733138,2.42E-09,4.92E-05,3.89E-05,-0.010894422,0.014282434,0.203369363,0.000765105
BF31,BF31_6,2,72,0.845760644,-1.23E-16,2.891987143,1,-0.250884344,0.976210221,0.988033512,0.838555639,3.05E-09,5.53E-05,4.57E-05,-0.016067628,0.004423231,0.166479207,0.000426905
BF31,BF31_7,2,84,0.926904843,-2.96E-16,-0.187849266,1,-0.271757393,0.994657098,0.997324971,0.844385684,1.99E-09,4.46E-05,3.64E-05,-0.00530835,0.020047171,0.143345434,0.000742384
BF31,BF31_8,2,96,0.942096376,-1.46E-16,0.194599494,1,-0.056455546,0.99664717,0.998322178,0.831708339,2.21E-09,4.71E-05,3.75E-05,0.000211071,0.00795292,0.137094293,1.22E-05
BF31,BF31_9,2,108,0.946236909,1.12E-16,-0.197122104,1,-0.03655668,0.99710953,0.998553719,0.82598028,2.31E-09,4.80E-05,3.70E-05,-0.02397271,0.001207996,0.124762211,0.000232113
BF31,BF31_10,2,120,0.92455064,-1.63E-16,-0.215297114,1,-0.134370413,0.994307394,0.997149635,0.821660686,2.53E-09,5.03E-05,4.11E-05,0.004244207,0.004423173,0.096143687,0.000195258
BF32,BF32_1,2,12,0.732927663,-2.78E-17,3.611382888,1,-0.186367908,0.928672367,0.963676484,0.841076696,3.05E-10,1.75E-05,1.32E-05,-0.013696531,0.056710286,0.390000738,0.001991622
BF32,BF32_2,2,24,0.687714377,-3.70E-17,0.383994292,1,-0.036377914,0.90247769,0.949988258,0.851110273,1.88E-10,1.37E-05,1.08E-05,-0.045072342,0.041554772,0.216712217,0.008642664
BF32,BF32_3,2,36,0.7123046,-4.38E-16,4.239988259,1,-0.238330902,0.917231357,0.957721962,0.831453646,4.46E-10,2.11E-05,1.70E-05,0.008474574,0.006579576,0.178371066,0.000312602
BF32,BF32_4,2,48,0.967283063,0,0.028089983,1,-0.194808077,0.998929602,0.999464658,0.86298909,6.02E-10,2.45E-05,1.97E-05,0.022234163,0.015790306,0.188324977,0.001864247
